"Expert","Biodiversity","Estimate","Counterfactual","Action","Rating","Comments"
1,"Wetland
Mammals
Carnivore, omnivore","LOWEST",NA,NA,NA,NA
1,"Wetland
Mammals
Carnivore, omnivore","HIGHEST",NA,NA,NA,NA
1,"Wetland
Mammals
Carnivore, omnivore","BEST GUESS",NA,NA,NA,NA
1,"Wetland
Mammals
Herbivore","LOWEST",NA,NA,NA,NA
1,"Wetland
Mammals
Herbivore","HIGHEST",NA,NA,NA,NA
1,"Wetland
Mammals
Herbivore","BEST GUESS",NA,NA,NA,NA
1,"Wetland
Vascular plants
Herbaceous","LOWEST","70","80","6","These communities are fairly robust and so can rebound from disturbance to some degree. However, I do believe the actions taken will be beneficial."
1,"Wetland
Vascular plants
Herbaceous","HIGHEST","80","90",NA,NA
1,"Wetland
Vascular plants
Herbaceous","BEST GUESS","75","85",NA,NA
1,"Wetland
Vascular plants
Woody","LOWEST","70","80","6","These communities are fairly robust and so can rebound from disturbance to some degree. However, I do believe the actions taken will be beneficial."
1,"Wetland
Vascular plants
Woody","HIGHEST","80","90",NA,NA
1,"Wetland
Vascular plants
Woody","BEST GUESS","75","85",NA,NA
1,"Coniferous Forest
Reptiles and amphibians
Snakes and lizards","LOWEST",NA,NA,NA,NA
1,"Coniferous Forest
Reptiles and amphibians
Snakes and lizards","HIGHEST",NA,NA,NA,NA
1,"Coniferous Forest
Reptiles and amphibians
Snakes and lizards","BEST GUESS",NA,NA,NA,NA
1,"Coniferous Forest
Reptiles and amphibians
Frogs","LOWEST",NA,NA,NA,NA
1,"Coniferous Forest
Reptiles and amphibians
Frogs","HIGHEST",NA,NA,NA,NA
1,"Coniferous Forest
Reptiles and amphibians
Frogs","BEST GUESS",NA,NA,NA,NA
1,"Coniferous Forest
Reptiles and amphibians
Salamanders","LOWEST",NA,NA,NA,NA
1,"Coniferous Forest
Reptiles and amphibians
Salamanders","HIGHEST",NA,NA,NA,NA
1,"Coniferous Forest
Reptiles and amphibians
Salamanders","BEST GUESS",NA,NA,NA,NA
1,"Coniferous Forest
Birds
Carnivore","LOWEST",NA,NA,NA,NA
1,"Coniferous Forest
Birds
Carnivore","HIGHEST",NA,NA,NA,NA
1,"Coniferous Forest
Birds
Carnivore","BEST GUESS",NA,NA,NA,NA
1,"Coniferous Forest
Birds
Omnivore","LOWEST",NA,NA,NA,NA
1,"Coniferous Forest
Birds
Omnivore","HIGHEST",NA,NA,NA,NA
1,"Coniferous Forest
Birds
Omnivore","BEST GUESS",NA,NA,NA,NA
1,"Coniferous Forest
Birds
Insectivore/invertivore","LOWEST",NA,NA,NA,NA
1,"Coniferous Forest
Birds
Insectivore/invertivore","HIGHEST",NA,NA,NA,NA
1,"Coniferous Forest
Birds
Insectivore/invertivore","BEST GUESS",NA,NA,NA,NA
1,"Coniferous Forest
Birds
Herbivore/granivore","LOWEST",NA,NA,NA,NA
1,"Coniferous Forest
Birds
Herbivore/granivore","HIGHEST",NA,NA,NA,NA
1,"Coniferous Forest
Birds
Herbivore/granivore","BEST GUESS",NA,NA,NA,NA
1,"Coniferous Forest
Mammals
Carnivore, omnivore","LOWEST",NA,NA,NA,NA
1,"Coniferous Forest
Mammals
Carnivore, omnivore","HIGHEST",NA,NA,NA,NA
1,"Coniferous Forest
Mammals
Carnivore, omnivore","BEST GUESS",NA,NA,NA,NA
1,"Coniferous Forest
Mammals
Herbivore","LOWEST",NA,NA,NA,NA
1,"Coniferous Forest
Mammals
Herbivore","HIGHEST",NA,NA,NA,NA
1,"Coniferous Forest
Mammals
Herbivore","BEST GUESS",NA,NA,NA,NA
1,"Coniferous Forest
Vascular plants
Herbaceous","LOWEST","70","80","6","These communities are fairly robust and so can rebound from disturbance to some degree. However, I do believe the actions taken will be beneficial."
1,"Coniferous Forest
Vascular plants
Herbaceous","HIGHEST","80","90",NA,NA
1,"Coniferous Forest
Vascular plants
Herbaceous","BEST GUESS","75","85",NA,NA
1,"Coniferous Forest
Vascular plants
Woody","LOWEST","70","80","6","These communities are fairly robust and so can rebound from disturbance to some degree. However, I do believe the actions taken will be beneficial."
1,"Coniferous Forest
Vascular plants
Woody","HIGHEST","80","90",NA,NA
1,"Coniferous Forest
Vascular plants
Woody","BEST GUESS","75","85",NA,NA
1,"Mixed Forest
Reptiles and amphibians
Snakes and lizards","LOWEST",NA,NA,NA,NA
1,"Mixed Forest
Reptiles and amphibians
Snakes and lizards","HIGHEST",NA,NA,NA,NA
1,"Mixed Forest
Reptiles and amphibians
Snakes and lizards","BEST GUESS",NA,NA,NA,NA
1,"Mixed Forest
Reptiles and amphibians
Frogs","LOWEST",NA,NA,NA,NA
1,"Mixed Forest
Reptiles and amphibians
Frogs","HIGHEST",NA,NA,NA,NA
1,"Mixed Forest
Reptiles and amphibians
Frogs","BEST GUESS",NA,NA,NA,NA
1,"Mixed Forest
Reptiles and amphibians
Salamanders","LOWEST",NA,NA,NA,NA
1,"Mixed Forest
Reptiles and amphibians
Salamanders","HIGHEST",NA,NA,NA,NA
1,"Mixed Forest
Reptiles and amphibians
Salamanders","BEST GUESS",NA,NA,NA,NA
1,"Mixed Forest
Birds
Carnivore","LOWEST",NA,NA,NA,NA
1,"Mixed Forest
Birds
Carnivore","HIGHEST",NA,NA,NA,NA
1,"Mixed Forest
Birds
Carnivore","BEST GUESS",NA,NA,NA,NA
1,"Mixed Forest
Birds
Omnivore","LOWEST",NA,NA,NA,NA
1,"Mixed Forest
Birds
Omnivore","HIGHEST",NA,NA,NA,NA
1,"Mixed Forest
Birds
Omnivore","BEST GUESS",NA,NA,NA,NA
1,"Mixed Forest
Birds
Insectivore/invertivore","LOWEST",NA,NA,NA,NA
1,"Mixed Forest
Birds
Insectivore/invertivore","HIGHEST",NA,NA,NA,NA
1,"Mixed Forest
Birds
Insectivore/invertivore","BEST GUESS",NA,NA,NA,NA
1,"Mixed Forest
Birds
Herbivore/granivore","LOWEST",NA,NA,NA,NA
1,"Mixed Forest
Birds
Herbivore/granivore","HIGHEST",NA,NA,NA,NA
1,"Mixed Forest
Birds
Herbivore/granivore","BEST GUESS",NA,NA,NA,NA
1,"Mixed Forest
Mammals
Carnivore, omnivore","LOWEST",NA,NA,NA,NA
1,"Mixed Forest
Mammals
Carnivore, omnivore","HIGHEST",NA,NA,NA,NA
1,"Mixed Forest
Mammals
Carnivore, omnivore","BEST GUESS",NA,NA,NA,NA
1,"Mixed Forest
Mammals
Herbivore","LOWEST",NA,NA,NA,NA
1,"Mixed Forest
Mammals
Herbivore","HIGHEST",NA,NA,NA,NA
1,"Mixed Forest
Mammals
Herbivore","BEST GUESS",NA,NA,NA,NA
1,"Mixed Forest
Vascular plants
Herbaceous","LOWEST","70","80","6","These communities are fairly robust and so can rebound from disturbance to some degree. However, I do believe the actions taken will be beneficial."
1,"Mixed Forest
Vascular plants
Herbaceous","HIGHEST","80","90",NA,NA
1,"Mixed Forest
Vascular plants
Herbaceous","BEST GUESS","75","85",NA,NA
1,"Mixed Forest
Vascular plants
Woody","LOWEST","70","80","6","These communities are fairly robust and so can rebound from disturbance to some degree. However, I do believe the actions taken will be beneficial."
1,"Mixed Forest
Vascular plants
Woody","HIGHEST","80","90",NA,NA
1,"Mixed Forest
Vascular plants
Woody","BEST GUESS","75","85",NA,NA
2,"Freshwater
Fish
Large predators","LOWEST","25","50","4","Upgrading crossing infrastructure could see improvements to the local and downstream habitat for these species. Is highly dependent on if OHV users use the new infrastructure."
2,"Freshwater
Fish
Large predators","HIGHEST","75","80",NA,NA
2,"Freshwater
Fish
Large predators","BEST GUESS","50","75",NA,NA
2,"Freshwater
Fish
Small-medium predators","LOWEST","25","50","4","Upgrading crossing infrastructure could see improvements to the local and downstream habitat for these species. Is highly dependent on if OHV users use the new infrastructure."
2,"Freshwater
Fish
Small-medium predators","HIGHEST","75","80",NA,NA
2,"Freshwater
Fish
Small-medium predators","BEST GUESS","50","75",NA,NA
2,"Freshwater
Reptiles and amphibians
Snakes and lizards","LOWEST","50","50","4","Unsure if there are any lizards or snakes that occupy this area."
2,"Freshwater
Reptiles and amphibians
Snakes and lizards","HIGHEST","80","80",NA,NA
2,"Freshwater
Reptiles and amphibians
Snakes and lizards","BEST GUESS","75","75",NA,NA
2,"Freshwater
Reptiles and amphibians
Frogs","LOWEST","25","50","4","Upgrading crossing infrastructure could see improvements to the local and downstream habitat for these species. Is highly dependent on if OHV users use the new infrastructure."
2,"Freshwater
Reptiles and amphibians
Frogs","HIGHEST","75","80",NA,NA
2,"Freshwater
Reptiles and amphibians
Frogs","BEST GUESS","50","75",NA,NA
2,"Freshwater
Reptiles and amphibians
Salamanders","LOWEST","25","50","4","Upgrading crossing infrastructure could see improvements to the local and downstream habitat for these species. Is highly dependent on if OHV users use the new infrastructure."
2,"Freshwater
Reptiles and amphibians
Salamanders","HIGHEST","75","80",NA,NA
2,"Freshwater
Reptiles and amphibians
Salamanders","BEST GUESS","50","75",NA,NA
2,"Freshwater
Birds
Carnivore","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Freshwater
Birds
Carnivore","HIGHEST","80","80",NA,NA
2,"Freshwater
Birds
Carnivore","BEST GUESS","75","75",NA,NA
2,"Freshwater
Birds
Omnivore","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Freshwater
Birds
Omnivore","HIGHEST","80","80",NA,NA
2,"Freshwater
Birds
Omnivore","BEST GUESS","75","75",NA,NA
2,"Freshwater
Birds
Insectivore/invertivore","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Freshwater
Birds
Insectivore/invertivore","HIGHEST","80","80",NA,NA
2,"Freshwater
Birds
Insectivore/invertivore","BEST GUESS","75","75",NA,NA
2,"Freshwater
Birds
Herbivore/granivore","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Freshwater
Birds
Herbivore/granivore","HIGHEST","80","80",NA,NA
2,"Freshwater
Birds
Herbivore/granivore","BEST GUESS","75","75",NA,NA
2,"Freshwater
Mammals
Carnivore, omnivore","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Freshwater
Mammals
Carnivore, omnivore","HIGHEST","80","80",NA,NA
2,"Freshwater
Mammals
Carnivore, omnivore","BEST GUESS","75","75",NA,NA
2,"Freshwater
Mammals
Herbivore","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Freshwater
Mammals
Herbivore","HIGHEST","80","80",NA,NA
2,"Freshwater
Mammals
Herbivore","BEST GUESS","75","75",NA,NA
2,"Freshwater
Vascular plants
Herbaceous","LOWEST","25","50","4","Upgrading crossing infrastructure could see improvements to the local and downstream habitat for these species. Is highly dependent on if OHV users use the new infrastructure."
2,"Freshwater
Vascular plants
Herbaceous","HIGHEST","75","80",NA,NA
2,"Freshwater
Vascular plants
Herbaceous","BEST GUESS","50","75",NA,NA
2,"Freshwater
Vascular plants
Woody","LOWEST","25","50","4","Upgrading crossing infrastructure could see improvements to the local and downstream habitat for these species. Is highly dependent on if OHV users use the new infrastructure."
2,"Freshwater
Vascular plants
Woody","HIGHEST","75","80",NA,NA
2,"Freshwater
Vascular plants
Woody","BEST GUESS","50","75",NA,NA
2,"Wetland
Fish
Large predators","LOWEST","25","50","4","Upgrading crossing infrastructure could see improvements to the local and downstream habitat for these species. Is highly dependent on if OHV users use the new infrastructure."
2,"Wetland
Fish
Large predators","HIGHEST","75","80",NA,NA
2,"Wetland
Fish
Large predators","BEST GUESS","50","75",NA,NA
2,"Wetland
Fish
Small-medium predators","LOWEST","25","50","4","Upgrading crossing infrastructure could see improvements to the local and downstream habitat for these species. Is highly dependent on if OHV users use the new infrastructure."
2,"Wetland
Fish
Small-medium predators","HIGHEST","75","80",NA,NA
2,"Wetland
Fish
Small-medium predators","BEST GUESS","50","75",NA,NA
2,"Wetland
Reptiles and amphibians
Snakes and lizards","LOWEST","50","50","4","Unsure if there are any lizards or snakes that occupy this area."
2,"Wetland
Reptiles and amphibians
Snakes and lizards","HIGHEST","80","80",NA,NA
2,"Wetland
Reptiles and amphibians
Snakes and lizards","BEST GUESS","75","75",NA,NA
2,"Wetland
Reptiles and amphibians
Frogs","LOWEST","25","50","4","Upgrading crossing infrastructure could see improvements to the local and downstream habitat for these species. Is highly dependent on if OHV users use the new infrastructure."
2,"Wetland
Reptiles and amphibians
Frogs","HIGHEST","75","80",NA,NA
2,"Wetland
Reptiles and amphibians
Frogs","BEST GUESS","50","75",NA,NA
2,"Wetland
Reptiles and amphibians
Salamanders","LOWEST","25","50","4","Upgrading crossing infrastructure could see improvements to the local and downstream habitat for these species. Is highly dependent on if OHV users use the new infrastructure."
2,"Wetland
Reptiles and amphibians
Salamanders","HIGHEST","75","80",NA,NA
2,"Wetland
Reptiles and amphibians
Salamanders","BEST GUESS","50","75",NA,NA
2,"Wetland
Birds
Carnivore","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Wetland
Birds
Carnivore","HIGHEST","80","80",NA,NA
2,"Wetland
Birds
Carnivore","BEST GUESS","75","75",NA,NA
2,"Wetland
Birds
Omnivore","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Wetland
Birds
Omnivore","HIGHEST","80","80",NA,NA
2,"Wetland
Birds
Omnivore","BEST GUESS","75","75",NA,NA
2,"Wetland
Birds
Insectivore/invertivore","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Wetland
Birds
Insectivore/invertivore","HIGHEST","80","80",NA,NA
2,"Wetland
Birds
Insectivore/invertivore","BEST GUESS","75","75",NA,NA
2,"Wetland
Birds
Herbivore/granivore","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Wetland
Birds
Herbivore/granivore","HIGHEST","80","80",NA,NA
2,"Wetland
Birds
Herbivore/granivore","BEST GUESS","75","75",NA,NA
2,"Wetland
Mammals
Carnivore, omnivore","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Wetland
Mammals
Carnivore, omnivore","HIGHEST","80","80",NA,NA
2,"Wetland
Mammals
Carnivore, omnivore","BEST GUESS","75","75",NA,NA
2,"Wetland
Mammals
Herbivore","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Wetland
Mammals
Herbivore","HIGHEST","80","80",NA,NA
2,"Wetland
Mammals
Herbivore","BEST GUESS","75","75",NA,NA
2,"Wetland
Vascular plants
Herbaceous","LOWEST","25","50","4","Upgrading crossing infrastructure could see improvements to the local and downstream habitat for these species. Is highly dependent on if OHV users use the new infrastructure."
2,"Wetland
Vascular plants
Herbaceous","HIGHEST","75","80",NA,NA
2,"Wetland
Vascular plants
Herbaceous","BEST GUESS","50","75",NA,NA
2,"Wetland
Vascular plants
Woody","LOWEST","25","50","4","Upgrading crossing infrastructure could see improvements to the local and downstream habitat for these species. Is highly dependent on if OHV users use the new infrastructure."
2,"Wetland
Vascular plants
Woody","HIGHEST","75","80",NA,NA
2,"Wetland
Vascular plants
Woody","BEST GUESS","50","75",NA,NA
2,"Coniferous Forest
Reptiles and amphibians
Snakes and lizards","LOWEST","50","50","4","Unsure if there are any lizards or snakes that occupy this area."
2,"Coniferous Forest
Reptiles and amphibians
Snakes and lizards","HIGHEST","80","80",NA,NA
2,"Coniferous Forest
Reptiles and amphibians
Snakes and lizards","BEST GUESS","75","75",NA,NA
2,"Coniferous Forest
Reptiles and amphibians
Frogs","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Coniferous Forest
Reptiles and amphibians
Frogs","HIGHEST","80","80",NA,NA
2,"Coniferous Forest
Reptiles and amphibians
Frogs","BEST GUESS","75","75",NA,NA
2,"Coniferous Forest
Reptiles and amphibians
Salamanders","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Coniferous Forest
Reptiles and amphibians
Salamanders","HIGHEST","80","80",NA,NA
2,"Coniferous Forest
Reptiles and amphibians
Salamanders","BEST GUESS","75","75",NA,NA
2,"Coniferous Forest
Birds
Carnivore","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Coniferous Forest
Birds
Carnivore","HIGHEST","80","80",NA,NA
2,"Coniferous Forest
Birds
Carnivore","BEST GUESS","75","75",NA,NA
2,"Coniferous Forest
Birds
Omnivore","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Coniferous Forest
Birds
Omnivore","HIGHEST","80","80",NA,NA
2,"Coniferous Forest
Birds
Omnivore","BEST GUESS","75","75",NA,NA
2,"Coniferous Forest
Birds
Insectivore/invertivore","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Coniferous Forest
Birds
Insectivore/invertivore","HIGHEST","80","80",NA,NA
2,"Coniferous Forest
Birds
Insectivore/invertivore","BEST GUESS","75","75",NA,NA
2,"Coniferous Forest
Birds
Herbivore/granivore","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Coniferous Forest
Birds
Herbivore/granivore","HIGHEST","80","80",NA,NA
2,"Coniferous Forest
Birds
Herbivore/granivore","BEST GUESS","75","75",NA,NA
2,"Coniferous Forest
Mammals
Carnivore, omnivore","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Coniferous Forest
Mammals
Carnivore, omnivore","HIGHEST","80","80",NA,NA
2,"Coniferous Forest
Mammals
Carnivore, omnivore","BEST GUESS","75","75",NA,NA
2,"Coniferous Forest
Mammals
Herbivore","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Coniferous Forest
Mammals
Herbivore","HIGHEST","80","80",NA,NA
2,"Coniferous Forest
Mammals
Herbivore","BEST GUESS","75","75",NA,NA
2,"Coniferous Forest
Vascular plants
Herbaceous","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Coniferous Forest
Vascular plants
Herbaceous","HIGHEST","80","80",NA,NA
2,"Coniferous Forest
Vascular plants
Herbaceous","BEST GUESS","75","75",NA,NA
2,"Coniferous Forest
Vascular plants
Woody","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Coniferous Forest
Vascular plants
Woody","HIGHEST","80","80",NA,NA
2,"Coniferous Forest
Vascular plants
Woody","BEST GUESS","75","75",NA,NA
2,"Mixed Forest
Reptiles and amphibians
Snakes and lizards","LOWEST","50","50","4","Unsure if there are any lizards or snakes that occupy this area."
2,"Mixed Forest
Reptiles and amphibians
Snakes and lizards","HIGHEST","80","80",NA,NA
2,"Mixed Forest
Reptiles and amphibians
Snakes and lizards","BEST GUESS","75","75",NA,NA
2,"Mixed Forest
Reptiles and amphibians
Frogs","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Mixed Forest
Reptiles and amphibians
Frogs","HIGHEST","80","80",NA,NA
2,"Mixed Forest
Reptiles and amphibians
Frogs","BEST GUESS","75","75",NA,NA
2,"Mixed Forest
Reptiles and amphibians
Salamanders","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Mixed Forest
Reptiles and amphibians
Salamanders","HIGHEST","80","80",NA,NA
2,"Mixed Forest
Reptiles and amphibians
Salamanders","BEST GUESS","75","75",NA,NA
2,"Mixed Forest
Birds
Carnivore","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Mixed Forest
Birds
Carnivore","HIGHEST","80","80",NA,NA
2,"Mixed Forest
Birds
Carnivore","BEST GUESS","75","75",NA,NA
2,"Mixed Forest
Birds
Omnivore","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Mixed Forest
Birds
Omnivore","HIGHEST","80","80",NA,NA
2,"Mixed Forest
Birds
Omnivore","BEST GUESS","75","75",NA,NA
2,"Mixed Forest
Birds
Insectivore/invertivore","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
2,"Mixed Forest
Birds
Insectivore/invertivore","HIGHEST","80","80",NA,NA
2,"Mixed Forest
Birds
Insectivore/invertivore","BEST GUESS","75","75",NA,NA
2,"Mixed Forest
Birds
Herbivore/granivore","LOWEST","50","50","4","Upgrading crossing infrastructure will likely have litte impact on the amount of available habtiat for this functional group. External factors outside of this project are likely the dominant threat to persistence."
