"Expert","Biodiversity","Estimate","Counterfactual","Action","Rating","Comments"
5,"Mixed Forest","LOWEST",NA,NA,"low","It seems unlikely to me that this project will have a decernable impact to these systems at this scale"
5,"Mixed Forest","HIGHEST",NA,NA,NA,NA
5,"Mixed Forest","BEST GUESS",NA,NA,NA,NA
6,"Freshwater","LOWEST","25","75","good","depending on how much damage has been done, it might be too late, or 20 years of recovery, after restoration may not be enough to ensure persistence of sufficiently good condition"
6,"Freshwater","HIGHEST","85","100",NA,NA
6,"Freshwater","BEST GUESS","65","85",NA,NA
6,"Wetland","LOWEST","50","75","good","depending on how much damage has been done, it might be too late, or 20 years of recovery, after restoration may not be enough to ensure persistence of sufficiently good condition"
6,"Wetland","HIGHEST","95","100",NA,NA
6,"Wetland","BEST GUESS","85","85",NA,NA
6,"Coniferous Forest","LOWEST","65","85","moderate",NA
6,"Coniferous Forest","HIGHEST","95","100",NA,NA
6,"Coniferous Forest","BEST GUESS","75","90",NA,NA
6,"Mixed Forest","LOWEST","65","85","good",NA
6,"Mixed Forest","HIGHEST","95","100",NA,NA
6,"Mixed Forest","BEST GUESS","75","90",NA,NA
7,"Freshwater","LOWEST","99","99","7","Freshwater will continue to persist in the Mackenzie Creek drainage regardless of project implementation. However, the quality of the freshwater will improve with project implementation."
7,"Freshwater","HIGHEST","99","100",NA,NA
7,"Freshwater","BEST GUESS","99","100",NA,NA
7,"Wetland","LOWEST","40","99","7","The distribution of wetlands in the project area is mostly along the creek as riparian vegetation. Wetlands will likely continue to persist regardless of project implementation; however, will likely become degraded without mitigation. Wetlands should continue to persist in good health with project implementation."
7,"Wetland","HIGHEST","85","100",NA,NA
7,"Wetland","BEST GUESS","80","100",NA,NA
7,"Coniferous Forest","LOWEST","70","95","7","Impacts of OHV use are likely mainly on existing trails but the counterfactual scenario will continue to degrade existing coniferous forests. Project implementation will result in peristence of coniferous forest in the project area."
7,"Coniferous Forest","HIGHEST","100","100",NA,NA
7,"Coniferous Forest","BEST GUESS","99","100",NA,NA
7,"Mixed Forest","LOWEST","40","90","7","Limited distribution of mixed forests in the project area. Unmitigated use of the existing trails and the creek bed by OHV traffic will degrade existing forest. Project implementation should ensure persistence of any existing mixed forest."
7,"Mixed Forest","HIGHEST","90","100",NA,NA
7,"Mixed Forest","BEST GUESS","75","99",NA,NA
8,"Freshwater","LOWEST","15","50","3","This ecotype is most likely to be negatively affected in the counterfactual scenario and benefit from the proposed action."
8,"Freshwater","HIGHEST","50","85",NA,NA
8,"Freshwater","BEST GUESS","25","75",NA,NA
8,"Wetland","LOWEST","15","50","3","This ecotype might also be negatively affected in the counterfactual scenario and benefit from the proposed action."
8,"Wetland","HIGHEST","50","85",NA,NA
8,"Wetland","BEST GUESS","25","75",NA,NA
8,"Coniferous Forest","LOWEST","15","50","5","Reducing offroad vehicle activity near the creek will probably reduce the probability of manmade fires started by poorly cleaned vehicles, along with the spread of invasive plant seeds carried into forest trails on ATVs."
8,"Coniferous Forest","HIGHEST","50","85",NA,NA
8,"Coniferous Forest","BEST GUESS","25","75",NA,NA
8,"Mixed Forest","LOWEST","15","50","5","Reducing offroad vehicle activity near the creek will probably reduce the probability of manmade fires started by poorly cleaned vehicles, along with the spread of invasive plant seeds carried into forest trails on ATVs."
8,"Mixed Forest","HIGHEST","50","85",NA,NA
8,"Mixed Forest","BEST GUESS","25","75",NA,NA
9,"Freshwater","LOWEST","50","50",NA,"Freshwater ecotype - I am uncertain how changes to patterns of seasonal precipitation, snowfall accumulation, watershed storage over the next 20 years might result in changes to upper headwater systems and whether any of these would result in measurable change to the mapped area of freshwater ecotype present in the project area."
9,"Freshwater","HIGHEST","100","100",NA,NA
9,"Freshwater","BEST GUESS","90","90",NA,NA
9,"Wetland","LOWEST","50","50",NA,"Wetland ecotype - I am uncertain how changes to patterns of seasonal precipitation, snowfall accumulation, watershed storage over the next 20 years might result in changes to upper headwater systems and whether any of these would result in measurable change to the mapped area of wetland (riparian) ecotype present in the project area."
9,"Wetland","HIGHEST","100","100",NA,NA
9,"Wetland","BEST GUESS","90","90",NA,NA
9,"Coniferous Forest","LOWEST","50","50",NA,"Coniferous forest - I am uncertain how changes to patterns of seasonal precipitation, snowfall accumulation, fire disturbance may result in measurable effects to mapped area of coniferous forest ecotype."
9,"Coniferous Forest","HIGHEST","100","100",NA,NA
9,"Coniferous Forest","BEST GUESS","90","90",NA,NA
9,"Mixed Forest","LOWEST","50","50",NA,"Mixed forest - I am uncertain how changes to patterns of seasonal precipitation, snowfall accumulation, fire disturbance may result in measurable effects to mapped area of mixed forest ecotype."
9,"Mixed Forest","HIGHEST","100","100",NA,NA
9,"Mixed Forest","BEST GUESS","90","90",NA,NA
10,"Freshwater","LOWEST","40","60","5",NA
10,"Freshwater","HIGHEST","60","90",NA,NA
10,"Freshwater","BEST GUESS","55","80",NA,NA
10,"Wetland","LOWEST","40","60","5",NA
10,"Wetland","HIGHEST","60","90",NA,NA
10,"Wetland","BEST GUESS","55","80",NA,NA
10,"Coniferous Forest","LOWEST",NA,NA,"5",NA
10,"Coniferous Forest","HIGHEST",NA,NA,NA,NA
10,"Coniferous Forest","BEST GUESS",NA,NA,NA,NA
10,"Mixed Forest","LOWEST",NA,NA,"5",NA
10,"Mixed Forest","HIGHEST",NA,NA,NA,NA
10,"Mixed Forest","BEST GUESS",NA,NA,NA,NA
